question,context,gold_answer
Quels sont les principaux objectifs des mesures fiscales introduites par la LF 2025 ?,"PRINCIPALES 
DISPOSITIONS 
FISCALES 
DE LA LF 2025

La réforme de l’IR s’inscrit dans le cadre de la continuité de
la mise en œuvre de la loi-cadre n° 69-19 portant réforme
fiscale visant, notamment, la baisse de la pression fiscale
sur les contribuables au fur et à mesure de l’élargissement
de l’assiette.
Cette réforme s’inscrit également dans le cadre de
l’exécution de l’engagement du Gouvernement prévu par
l’accord
d’avril
2024
relatif
au
dialogue
social,
afin
d’améliorer les revenus des fonctionnaires, des salariés et
des retraités, à travers la réduction de leur charge fiscale en
matière d’impôt sur le revenu, suite au réaménagement du
barème progressif des taux de cet impôt à partir du 1er
janvier 2025.
Pour ce faire, la LF 2025 a introduit le nouveau barème qui
se présente comme suit :
Réaménagement du barème progressif de l’impôt sur le revenu (73-I du CGI)
Date d’effet : les dispositions de l’article 73-I du CGI telles que modifiées et complétées sont 
applicables aux revenus acquis à compter du 1er janvier 2025.

Avant la promulgation de la LF 2025, les personnes
physiques qui louent leurs biens à des personnes
morales ou des personnes physiques dont le revenu
est déterminé selon le régime du résultat net réel
ou du résultat net simplifié dont le montant brut
est égal ou supérieur à 120 000 dirhams sont
soumis à l’impôt retenu à la source au taux non
libératoire de 15%.
À cet effet, les titulaires de revenus fonciers étaient
tenus de déposer leur déclaration de revenu global
y compris le revenu foncier.
Avant la LF 2025
Afin d’assurer l’équité fiscale et de simplifier ce mode
d’imposition, notamment pour les salariés et les
retraités, la LF 2025 a institué une option à
l’imposition de ces revenus au taux libératoire de
20% avec possibilité de bénéficier de la dispense de la
déclaration annuelle du revenu global pour lesdits
revenus.
Relèvement du seuil de retenue à la source sur les
revenus fonciers : Le seuil d'application de la retenue
à la source sur les revenus fonciers est également

LOI DE FINANCES 2025
PRINCIPALES DISPOSITIONS FISCALES
Impôt sur le Revenu
Impôt sur les Sociétés
Taxe sur la Valeur Ajoutée
Droits d’Enregistrement
Autres Dispositions","Les principaux objectifs des mesures fiscales introduites par la LF 2025 sont :

1. **Baisse de la pression fiscale** : La réforme de l'impôt sur le revenu (IR) vise à réduire la charge fiscale sur les contribuables.

2. **Élargissement de l'assiette fiscale** : La mise en œuvre de la loi-cadre n° 69-19 portant réforme fiscale s'inscrit dans un cadre d'élargissement de l'assiette fiscale.

3. **Amélioration des revenus** : L'engagement du Gouvernement, prévu par l'accord d'avril 2024, a pour but d'améliorer les revenus des fonctionnaires, des salariés et des retraités.

4. **Réduction de la charge fiscale** : La réforme inclut un réaménagement du barème progressif de l'impôt sur le revenu à partir du 1er janvier 2025, visant à alléger la charge fiscale.

5. **Simplification de l'imposition** : La LF 2025 introduit une option d'imposition des revenus fonciers au taux libératoire de 20%, simplifiant ainsi le processus pour les salariés et les retraités, tout en permettant une dispense de la déclaration annuelle du revenu global pour ces revenus. 

6. **Relèvement du seuil de retenue à la source** : Le relèvement du seuil d'application de la retenue à la source sur les revenus fonciers contribue également à l'équité fiscale."
Quelles sont les principales dispositions fiscales introduites par la LF 2025 ?,"PRINCIPALES 
DISPOSITIONS 
FISCALES 
DE LA LF 2025

LOI DE FINANCES 2025
PRINCIPALES DISPOSITIONS FISCALES
Impôt sur le Revenu
Impôt sur les Sociétés
Taxe sur la Valeur Ajoutée
Droits d’Enregistrement
Autres Dispositions

La réforme de l’IR s’inscrit dans le cadre de la continuité de
la mise en œuvre de la loi-cadre n° 69-19 portant réforme
fiscale visant, notamment, la baisse de la pression fiscale
sur les contribuables au fur et à mesure de l’élargissement
de l’assiette.
Cette réforme s’inscrit également dans le cadre de
l’exécution de l’engagement du Gouvernement prévu par
l’accord
d’avril
2024
relatif
au
dialogue
social,
afin
d’améliorer les revenus des fonctionnaires, des salariés et
des retraités, à travers la réduction de leur charge fiscale en
matière d’impôt sur le revenu, suite au réaménagement du
barème progressif des taux de cet impôt à partir du 1er
janvier 2025.
Pour ce faire, la LF 2025 a introduit le nouveau barème qui
se présente comme suit :
Réaménagement du barème progressif de l’impôt sur le revenu (73-I du CGI)
Date d’effet : les dispositions de l’article 73-I du CGI telles que modifiées et complétées sont 
applicables aux revenus acquis à compter du 1er janvier 2025.

Avant la promulgation de la LF 2025, les personnes
physiques qui louent leurs biens à des personnes
morales ou des personnes physiques dont le revenu
est déterminé selon le régime du résultat net réel
ou du résultat net simplifié dont le montant brut
est égal ou supérieur à 120 000 dirhams sont
soumis à l’impôt retenu à la source au taux non
libératoire de 15%.
À cet effet, les titulaires de revenus fonciers étaient
tenus de déposer leur déclaration de revenu global
y compris le revenu foncier.
Avant la LF 2025
Afin d’assurer l’équité fiscale et de simplifier ce mode
d’imposition, notamment pour les salariés et les
retraités, la LF 2025 a institué une option à
l’imposition de ces revenus au taux libératoire de
20% avec possibilité de bénéficier de la dispense de la
déclaration annuelle du revenu global pour lesdits
revenus.
Relèvement du seuil de retenue à la source sur les
revenus fonciers : Le seuil d'application de la retenue
à la source sur les revenus fonciers est également","Les principales dispositions fiscales introduites par la LF 2025 comprennent :

1. **Réforme de l'Impôt sur le Revenu (IR)** :
   - Réaménagement du barème progressif de l'impôt sur le revenu, applicable aux revenus acquis à compter du 1er janvier 2025.
   - Introduction d'une option pour l'imposition des revenus fonciers au taux libératoire de 20%, permettant aux titulaires de ces revenus de bénéficier d'une dispense de déclaration annuelle du revenu global.

2. **Retenue à la source sur les revenus fonciers** :
   - Relèvement du seuil d'application de la retenue à la source sur les revenus fonciers pour les personnes physiques qui louent leurs biens à des personnes morales ou à des personnes physiques dont le revenu est déterminé selon le régime du résultat net réel ou simplifié.

Ces mesures visent à réduire la pression fiscale sur les contribuables et à améliorer les revenus des fonctionnaires, salariés et retraités."
Quels impôts sont concernés par les modifications/réformes de la LF 2025 ?,"Avant la promulgation de la LF 2025, les personnes
physiques qui louent leurs biens à des personnes
morales ou des personnes physiques dont le revenu
est déterminé selon le régime du résultat net réel
ou du résultat net simplifié dont le montant brut
est égal ou supérieur à 120 000 dirhams sont
soumis à l’impôt retenu à la source au taux non
libératoire de 15%.
À cet effet, les titulaires de revenus fonciers étaient
tenus de déposer leur déclaration de revenu global
y compris le revenu foncier.
Avant la LF 2025
Afin d’assurer l’équité fiscale et de simplifier ce mode
d’imposition, notamment pour les salariés et les
retraités, la LF 2025 a institué une option à
l’imposition de ces revenus au taux libératoire de
20% avec possibilité de bénéficier de la dispense de la
déclaration annuelle du revenu global pour lesdits
revenus.
Relèvement du seuil de retenue à la source sur les
revenus fonciers : Le seuil d'application de la retenue
à la source sur les revenus fonciers est également

PRINCIPALES 
DISPOSITIONS 
FISCALES 
DE LA LF 2025

La réforme de l’IR s’inscrit dans le cadre de la continuité de
la mise en œuvre de la loi-cadre n° 69-19 portant réforme
fiscale visant, notamment, la baisse de la pression fiscale
sur les contribuables au fur et à mesure de l’élargissement
de l’assiette.
Cette réforme s’inscrit également dans le cadre de
l’exécution de l’engagement du Gouvernement prévu par
l’accord
d’avril
2024
relatif
au
dialogue
social,
afin
d’améliorer les revenus des fonctionnaires, des salariés et
des retraités, à travers la réduction de leur charge fiscale en
matière d’impôt sur le revenu, suite au réaménagement du
barème progressif des taux de cet impôt à partir du 1er
janvier 2025.
Pour ce faire, la LF 2025 a introduit le nouveau barème qui
se présente comme suit :
Réaménagement du barème progressif de l’impôt sur le revenu (73-I du CGI)
Date d’effet : les dispositions de l’article 73-I du CGI telles que modifiées et complétées sont 
applicables aux revenus acquis à compter du 1er janvier 2025.

Dans le cadre de l’accompagnement de la Fédération Internationale de Football (FIFA) et des
organismes qui lui sont affiliés, pour l’implantation de son bureau régional permanent au
Maroc et pour appuyer le développement de ses activités au Maroc et dans la région, la Loi
de Finances 2025 a institué un régime d’incitation fiscale en faveur des représentations de
la FIFA et des organismes qui lui sont affiliés au Maroc, au titre de toutes leurs activités et
opérations réalisées conformément à ses statuts.
À ce titre, la LF 2025 a accordé à la FIFA et aux organismes qui lui sont affiliés au Maroc,
l’exonération de l’impôt sur les sociétés, de l’impôt sur les revenus salariaux, de la taxe sur
la valeur ajoutée et des droits d’enregistrement et de timbre
Institution d’un régime d’incitation fiscale en faveur des représentations de la 
FIFA et des organismes qui lui sont affiliés, pour l’implantation au Maroc","Les modifications/réformes de la LF 2025 concernent les impôts suivants :

1. L'impôt sur le revenu (IR), avec un réaménagement du barème progressif des taux.
2. L'impôt retenu à la source sur les revenus fonciers, avec l'introduction d'un taux libératoire et un relèvement du seuil d'application.
3. L'impôt sur les sociétés pour les représentations de la FIFA et des organismes qui lui sont affiliés.
4. L'impôt sur les revenus salariaux pour les représentations de la FIFA et des organismes qui lui sont affiliés.
5. La taxe sur la valeur ajoutée (TVA) pour les représentations de la FIFA et des organismes qui lui sont affiliés.
6. Les droits d’enregistrement et de timbre pour les représentations de la FIFA et des organismes qui lui sont affiliés."
Quel est l'objectif principal de la réforme fiscale introduite par la LF 2025 ?,"PRINCIPALES 
DISPOSITIONS 
FISCALES 
DE LA LF 2025

La réforme de l’IR s’inscrit dans le cadre de la continuité de
la mise en œuvre de la loi-cadre n° 69-19 portant réforme
fiscale visant, notamment, la baisse de la pression fiscale
sur les contribuables au fur et à mesure de l’élargissement
de l’assiette.
Cette réforme s’inscrit également dans le cadre de
l’exécution de l’engagement du Gouvernement prévu par
l’accord
d’avril
2024
relatif
au
dialogue
social,
afin
d’améliorer les revenus des fonctionnaires, des salariés et
des retraités, à travers la réduction de leur charge fiscale en
matière d’impôt sur le revenu, suite au réaménagement du
barème progressif des taux de cet impôt à partir du 1er
janvier 2025.
Pour ce faire, la LF 2025 a introduit le nouveau barème qui
se présente comme suit :
Réaménagement du barème progressif de l’impôt sur le revenu (73-I du CGI)
Date d’effet : les dispositions de l’article 73-I du CGI telles que modifiées et complétées sont 
applicables aux revenus acquis à compter du 1er janvier 2025.

LOI DE FINANCES 2025
PRINCIPALES DISPOSITIONS FISCALES
Impôt sur le Revenu
Impôt sur les Sociétés
Taxe sur la Valeur Ajoutée
Droits d’Enregistrement
Autres Dispositions

Exemple
Après la LF 2025 :
•
F1 est éligible au régime de la neutralité fiscale car M détient 80% de F1;
•
F2 est éligible au régime de la neutralité fiscale, car M ne détient que 70% de son capital 
(> à ; 66,67%);
•
M détient 71% de F3 (80% x 50% + 70% x 30% + 10% =), donc F3 est éligible au régime de 
la neutralité fiscale (> à ; 66,67%).","L'objectif principal de la réforme fiscale introduite par la LF 2025 est de réduire la pression fiscale sur les contribuables, en améliorant les revenus des fonctionnaires, des salariés et des retraités, à travers la réduction de leur charge fiscale en matière d'impôt sur le revenu, suite au réaménagement du barème progressif des taux de cet impôt à partir du 1er janvier 2025."
Quels sont les axes prioritaires de la réforme fiscale de 2025 selon le préambule ?,"La réforme de l’IR s’inscrit dans le cadre de la continuité de
la mise en œuvre de la loi-cadre n° 69-19 portant réforme
fiscale visant, notamment, la baisse de la pression fiscale
sur les contribuables au fur et à mesure de l’élargissement
de l’assiette.
Cette réforme s’inscrit également dans le cadre de
l’exécution de l’engagement du Gouvernement prévu par
l’accord
d’avril
2024
relatif
au
dialogue
social,
afin
d’améliorer les revenus des fonctionnaires, des salariés et
des retraités, à travers la réduction de leur charge fiscale en
matière d’impôt sur le revenu, suite au réaménagement du
barème progressif des taux de cet impôt à partir du 1er
janvier 2025.
Pour ce faire, la LF 2025 a introduit le nouveau barème qui
se présente comme suit :
Réaménagement du barème progressif de l’impôt sur le revenu (73-I du CGI)
Date d’effet : les dispositions de l’article 73-I du CGI telles que modifiées et complétées sont 
applicables aux revenus acquis à compter du 1er janvier 2025.

LOI DE FINANCES 2025
PRINCIPALES DISPOSITIONS FISCALES
Impôt sur le Revenu
Impôt sur les Sociétés
Taxe sur la Valeur Ajoutée
Droits d’Enregistrement
Autres Dispositions

Avant la promulgation de la LF 2025, les personnes
physiques qui louent leurs biens à des personnes
morales ou des personnes physiques dont le revenu
est déterminé selon le régime du résultat net réel
ou du résultat net simplifié dont le montant brut
est égal ou supérieur à 120 000 dirhams sont
soumis à l’impôt retenu à la source au taux non
libératoire de 15%.
À cet effet, les titulaires de revenus fonciers étaient
tenus de déposer leur déclaration de revenu global
y compris le revenu foncier.
Avant la LF 2025
Afin d’assurer l’équité fiscale et de simplifier ce mode
d’imposition, notamment pour les salariés et les
retraités, la LF 2025 a institué une option à
l’imposition de ces revenus au taux libératoire de
20% avec possibilité de bénéficier de la dispense de la
déclaration annuelle du revenu global pour lesdits
revenus.
Relèvement du seuil de retenue à la source sur les
revenus fonciers : Le seuil d'application de la retenue
à la source sur les revenus fonciers est également

PRINCIPALES 
DISPOSITIONS 
FISCALES 
DE LA LF 2025","Les axes prioritaires de la réforme fiscale de 2025, selon le préambule, sont les suivants :

1. La baisse de la pression fiscale sur les contribuables.
2. L'élargissement de l'assiette fiscale.
3. L'amélioration des revenus des fonctionnaires, des salariés et des retraités.
4. La réduction de la charge fiscale en matière d'impôt sur le revenu.
5. Le réaménagement du barème progressif des taux de l'impôt sur le revenu."
Comment la LF 2025 vise-t-elle à réduire la pression fiscale sur les ménages ?,"PRINCIPALES 
DISPOSITIONS 
FISCALES 
DE LA LF 2025

Avant la promulgation de la LF 2025, les personnes
physiques qui louent leurs biens à des personnes
morales ou des personnes physiques dont le revenu
est déterminé selon le régime du résultat net réel
ou du résultat net simplifié dont le montant brut
est égal ou supérieur à 120 000 dirhams sont
soumis à l’impôt retenu à la source au taux non
libératoire de 15%.
À cet effet, les titulaires de revenus fonciers étaient
tenus de déposer leur déclaration de revenu global
y compris le revenu foncier.
Avant la LF 2025
Afin d’assurer l’équité fiscale et de simplifier ce mode
d’imposition, notamment pour les salariés et les
retraités, la LF 2025 a institué une option à
l’imposition de ces revenus au taux libératoire de
20% avec possibilité de bénéficier de la dispense de la
déclaration annuelle du revenu global pour lesdits
revenus.
Relèvement du seuil de retenue à la source sur les
revenus fonciers : Le seuil d'application de la retenue
à la source sur les revenus fonciers est également

La réforme de l’IR s’inscrit dans le cadre de la continuité de
la mise en œuvre de la loi-cadre n° 69-19 portant réforme
fiscale visant, notamment, la baisse de la pression fiscale
sur les contribuables au fur et à mesure de l’élargissement
de l’assiette.
Cette réforme s’inscrit également dans le cadre de
l’exécution de l’engagement du Gouvernement prévu par
l’accord
d’avril
2024
relatif
au
dialogue
social,
afin
d’améliorer les revenus des fonctionnaires, des salariés et
des retraités, à travers la réduction de leur charge fiscale en
matière d’impôt sur le revenu, suite au réaménagement du
barème progressif des taux de cet impôt à partir du 1er
janvier 2025.
Pour ce faire, la LF 2025 a introduit le nouveau barème qui
se présente comme suit :
Réaménagement du barème progressif de l’impôt sur le revenu (73-I du CGI)
Date d’effet : les dispositions de l’article 73-I du CGI telles que modifiées et complétées sont 
applicables aux revenus acquis à compter du 1er janvier 2025.

applicables à compter du 1er janvier 2025.
Avant la LF 2025
-
Le montant des bons représentatifs des frais de
nourriture
ou
d'alimentation,
délivrés
par
les
employeurs à leurs salariés afin de leur permettre de
régler tout ou partie des prix des repas ou des produits
alimentaires et ce, dans la limite de quarante (40)
dirhams par salarié et par jour de travail. Ces bons
peuvent être payés par procédé électronique.
-
Toutefois, le montant de ces frais ne peut en aucun cas
être supérieur à 20% du salaire brut imposable du
salarié. Cette exonération ne peut être cumulée avec les
indemnités
alimentaires
accordées
aux
salariés
travaillant dans des chantiers éloignés de leur lieu de
résidence ;
Après la LF 2025","La LF 2025 vise à réduire la pression fiscale sur les ménages par plusieurs dispositions :

1. **Réduction de la charge fiscale** : La réforme de l'impôt sur le revenu (IR) s'inscrit dans le cadre d'un engagement du Gouvernement visant à améliorer les revenus des fonctionnaires, des salariés et des retraités, en réduisant leur charge fiscale.

2. **Réaménagement du barème progressif** : La LF 2025 introduit un nouveau barème progressif de l'impôt sur le revenu, applicable aux revenus acquis à compter du 1er janvier 2025, ce qui contribue à alléger le montant d'impôt dû.

3. **Option d'imposition des revenus fonciers** : Pour les personnes physiques louant des biens, la LF 2025 instaure une option à l'imposition de ces revenus au taux libératoire de 20%, avec la possibilité de bénéficier de la dispense de la déclaration annuelle du revenu global, simplifiant ainsi le processus fiscal pour ces contribuables.

Ces mesures s'inscrivent dans une stratégie globale de mise en œuvre de la loi-cadre n° 69-19 portant réforme fiscale, visant à élargir l'assiette fiscale tout en allégeant la charge sur les ménages."
Quelles sont les grandes réformes fiscales introduites par la LF 2025 ?,"PRINCIPALES 
DISPOSITIONS 
FISCALES 
DE LA LF 2025

La réforme de l’IR s’inscrit dans le cadre de la continuité de
la mise en œuvre de la loi-cadre n° 69-19 portant réforme
fiscale visant, notamment, la baisse de la pression fiscale
sur les contribuables au fur et à mesure de l’élargissement
de l’assiette.
Cette réforme s’inscrit également dans le cadre de
l’exécution de l’engagement du Gouvernement prévu par
l’accord
d’avril
2024
relatif
au
dialogue
social,
afin
d’améliorer les revenus des fonctionnaires, des salariés et
des retraités, à travers la réduction de leur charge fiscale en
matière d’impôt sur le revenu, suite au réaménagement du
barème progressif des taux de cet impôt à partir du 1er
janvier 2025.
Pour ce faire, la LF 2025 a introduit le nouveau barème qui
se présente comme suit :
Réaménagement du barème progressif de l’impôt sur le revenu (73-I du CGI)
Date d’effet : les dispositions de l’article 73-I du CGI telles que modifiées et complétées sont 
applicables aux revenus acquis à compter du 1er janvier 2025.

Exemple
Après la LF 2025 :
•
F1 est éligible au régime de la neutralité fiscale car M détient 80% de F1;
•
F2 est éligible au régime de la neutralité fiscale, car M ne détient que 70% de son capital 
(> à ; 66,67%);
•
M détient 71% de F3 (80% x 50% + 70% x 30% + 10% =), donc F3 est éligible au régime de 
la neutralité fiscale (> à ; 66,67%).

Exemple
Avant la LF 2025 :
•
F1 est éligible au régime de la neutralité fiscale car M détient 80% de F1;
•
F2 n’est pas éligible au régime de la neutralité fiscale, car M ne détient que 70% de son 
capital;
•
M détient 71% de F3 (80% x 50% + 70% x 30% + 10% =), donc F3 n’est pas éligible au 
régime de la neutralité fiscale.","La LF 2025 introduit les grandes réformes fiscales suivantes :

1. Réforme de l'impôt sur le revenu (IR) visant à réduire la pression fiscale sur les contribuables.
2. Réaménagement du barème progressif de l'impôt sur le revenu à partir du 1er janvier 2025, conformément à l'article 73-I du CGI.
3. Introduction d'un nouveau barème pour l'IR, dans le cadre de l'engagement du Gouvernement pour améliorer les revenus des fonctionnaires, des salariés et des retraités, par la réduction de leur charge fiscale.
4. Mise en œuvre du régime de la neutralité fiscale qui élargit l'éligibilité pour certaines entreprises en fonction de la détention de capital."
Quelles sont les principales modifications apportées au barème progressif de l’IR en 2025 ?,"La réforme de l’IR s’inscrit dans le cadre de la continuité de
la mise en œuvre de la loi-cadre n° 69-19 portant réforme
fiscale visant, notamment, la baisse de la pression fiscale
sur les contribuables au fur et à mesure de l’élargissement
de l’assiette.
Cette réforme s’inscrit également dans le cadre de
l’exécution de l’engagement du Gouvernement prévu par
l’accord
d’avril
2024
relatif
au
dialogue
social,
afin
d’améliorer les revenus des fonctionnaires, des salariés et
des retraités, à travers la réduction de leur charge fiscale en
matière d’impôt sur le revenu, suite au réaménagement du
barème progressif des taux de cet impôt à partir du 1er
janvier 2025.
Pour ce faire, la LF 2025 a introduit le nouveau barème qui
se présente comme suit :
Réaménagement du barème progressif de l’impôt sur le revenu (73-I du CGI)
Date d’effet : les dispositions de l’article 73-I du CGI telles que modifiées et complétées sont 
applicables aux revenus acquis à compter du 1er janvier 2025.

Avant la promulgation de la LF 2025, les personnes
physiques qui louent leurs biens à des personnes
morales ou des personnes physiques dont le revenu
est déterminé selon le régime du résultat net réel
ou du résultat net simplifié dont le montant brut
est égal ou supérieur à 120 000 dirhams sont
soumis à l’impôt retenu à la source au taux non
libératoire de 15%.
À cet effet, les titulaires de revenus fonciers étaient
tenus de déposer leur déclaration de revenu global
y compris le revenu foncier.
Avant la LF 2025
Afin d’assurer l’équité fiscale et de simplifier ce mode
d’imposition, notamment pour les salariés et les
retraités, la LF 2025 a institué une option à
l’imposition de ces revenus au taux libératoire de
20% avec possibilité de bénéficier de la dispense de la
déclaration annuelle du revenu global pour lesdits
revenus.
Relèvement du seuil de retenue à la source sur les
revenus fonciers : Le seuil d'application de la retenue
à la source sur les revenus fonciers est également

telles que modifiées et complétées, sont applicables aux exercices ouverts à compter 
du 1er janvier 2026. 
- L’article 8-IV-14 de la LF 2025 a prévu que les dispositions de l’article  
82-I du CGI, telles que modifiées et complétées, sont applicables aux déclarations 
souscrites à compter du 1er janvier 2025.

régimes visés à l’article 59-II-A dudit code et dont les cotisations n’ont pas été déduites 
pour la détermination du revenu net imposable.  
Dans le cadre de l’harmonisation du traitement fiscal des contrats d’épargne à long 
terme, notamment les contrats d’assurance sur la vie ou de capitalisation, les 
dispositions de la LF 2025 ont conditionné le bénéfice de l’exonération des prestations 
servies au terme des contrats de retraite complémentaire, dont les cotisations n'ont 
pas été déduites, par l’obligation de conclure ces contrats pour une durée égale au 
moins à 8 ans.","Les principales modifications apportées au barème progressif de l'impôt sur le revenu (IR) en 2025 incluent :

1. Réaménagement du barème progressif de l'impôt sur le revenu, applicable aux revenus acquis à compter du 1er janvier 2025.
2. Introduction d'une option d'imposition des revenus fonciers au taux libératoire de 20%, permettant aux titulaires de ces revenus de bénéficier de la dispense de la déclaration annuelle du revenu global.
3. Relèvement du seuil d'application de la retenue à la source sur les revenus fonciers, qui s'appliquera aux exercices ouverts à compter du 1er janvier 2026.

Ces modifications visent à réduire la charge fiscale sur les contribuables et à simplifier le mode d'imposition, notamment pour les salariés et les retraités."
Quel est le nouveau seuil d’exonération de l’IR et comment a-t-il évolué par rapport à 2024 ?,"Avant la promulgation de la LF 2025, les personnes
physiques qui louent leurs biens à des personnes
morales ou des personnes physiques dont le revenu
est déterminé selon le régime du résultat net réel
ou du résultat net simplifié dont le montant brut
est égal ou supérieur à 120 000 dirhams sont
soumis à l’impôt retenu à la source au taux non
libératoire de 15%.
À cet effet, les titulaires de revenus fonciers étaient
tenus de déposer leur déclaration de revenu global
y compris le revenu foncier.
Avant la LF 2025
Afin d’assurer l’équité fiscale et de simplifier ce mode
d’imposition, notamment pour les salariés et les
retraités, la LF 2025 a institué une option à
l’imposition de ces revenus au taux libératoire de
20% avec possibilité de bénéficier de la dispense de la
déclaration annuelle du revenu global pour lesdits
revenus.
Relèvement du seuil de retenue à la source sur les
revenus fonciers : Le seuil d'application de la retenue
à la source sur les revenus fonciers est également

les OPCI, créés exclusivement pour la réalisation des projets de construction desdits 
établissements. 
A cet effet, les biens d’équipement acquis par les sociétés foncières ou les OPCI 
précités en exonération de la TVA, conformément aux dispositions de l’article 92-I-8° 
du CGI, doivent être conservés pendant 60 mois s’il s’agit de biens meubles et pendant 
10 années s’il s’agit de biens immeubles. 
Date d’effet : 
Conformément aux dispositions de l’article 8-IV-15° de la LF 2025, les dispositions de 
l’article 92-I-8° du CGI, telles que complétées par le paragraphe I de l’article 8 de LF 
2025, sont applicables aux sociétés foncières et aux OPCI qui n’ont pas épuisé le délai 
d’exonération fixé à 36 mois avant le 1er janvier 2025.

Exemple 1 : Supposons qu’un contribuable a décidé de cotiser annuellement pour un contrat de retraite 
complémentaire (Montant du versement annuel est de 62 500 MAD et il a cotisé pendant 8 ans), et il n’a 
pas déduit les cotisations pour le calcul de son  RGI.
Avant la LF 2025 : 
-
Capital de 700 000 : exonéré
-
Rente certaine de 100 000 pendant 8 ans : exonéré
-
Rente viagère de 70 000 : exonéré
Après la LF 2025 : 
-
Capital de 700 000: exonéré
-
Rente certaine de 100 000 pendant 8 ans : exonéré
-
Rente viagère de 70 000 : exonéré
Exemple 1

54 
A- En matière d’IS  
 Exonération totale permanente d’IS  
L’article 8 de la LF 2025 a complété les dispositions de l’article 6-I-A du CGI par un 36° 
alinéa pour préciser que les représentations de la FIFA au Maroc et les organismes qui 
lui sont affiliés, créés conformément à la législation et la réglementation en vigueur, 
bénéficient de l'exonération totale permanente de l'IS, au titre de l’ensemble de leurs 
activités ou opérations conformes à l’objet défini dans ses statuts. 
Il a rappelé que l’exonération totale permanente en matière d’IS ouvre droit à une 
exonération totale permanente en matière de la cotisation minimale. 
Il a été également précisé, dans le dernier alinéa de l'article 6-I-A du CGI, que les 
représentations de la FIFA au Maroc et les organismes qui lui sont affiliés bénéficient 
aussi : 
- de l’abattement de 100% sur les produits des actions, parts sociales et revenus 
assimilés prévus à l'article 6 (I-C-1°) du CGI ;",Information non disponible dans le contexte fourni.
Quel est le nouveau taux marginal de l’IR ?,"Avant la promulgation de la LF 2025, les personnes
physiques qui louent leurs biens à des personnes
morales ou des personnes physiques dont le revenu
est déterminé selon le régime du résultat net réel
ou du résultat net simplifié dont le montant brut
est égal ou supérieur à 120 000 dirhams sont
soumis à l’impôt retenu à la source au taux non
libératoire de 15%.
À cet effet, les titulaires de revenus fonciers étaient
tenus de déposer leur déclaration de revenu global
y compris le revenu foncier.
Avant la LF 2025
Afin d’assurer l’équité fiscale et de simplifier ce mode
d’imposition, notamment pour les salariés et les
retraités, la LF 2025 a institué une option à
l’imposition de ces revenus au taux libératoire de
20% avec possibilité de bénéficier de la dispense de la
déclaration annuelle du revenu global pour lesdits
revenus.
Relèvement du seuil de retenue à la source sur les
revenus fonciers : Le seuil d'application de la retenue
à la source sur les revenus fonciers est également

26 
Cas 1 : Option à l’imposition des revenus fonciers selon le taux libératoire 
de 20% 
Le contribuable concerné a opté pour l’imposition libératoire des revenus fonciers selon 
le taux libératoire de 20%, en souscrivant le 5 janvier 2025 une demande d’option, par 
procédé électronique, auprès de l’administration fiscale contre récépissé et il a remis 
le même jour une copie dudit récépissé à la société « Y ». 
A cet effet, la société « Y », ayant accusé réception de la copie du récépissé précité, 
est tenue en vertu des articles 160 bis (2ème alinéa) et 174-IV du CGI : 
- 
d’opérer la retenue à la source au titre du revenu foncier brut imposable versé 
au propriétaire selon le taux libératoire de 20%, 
- 
et de verser le montant de l’IR correspondant avant l’expiration du mois suivant 
celui au cours duquel ladite retenue a été opérée.  
Le montant des retenues à la source effectuées au cours de l’année 2025 au titre des 
revenus fonciers est de : (3 000 x 20%) x 12 = 7 200 DH

-
Les personnes qui versent les gains de jeux de hasard par internet de source étrangère précités ;
-
Et pour les établissements de crédit et organismes assimilés ou toute autre personne intervenant
dans le paiement des gains de jeux de hasard par internet (en ligne).
Ajout d’une nouvelle catégorie de revenus imposables en matière d’impôt sur le 
revenu (Articles 22, 70 bis, 73 et 160 ter du CGI)
Il est également proposé d’instituer l’obligation d’opérer une retenue à la source au taux
libératoire de 30% pour :
S’agissant des gains de jeux de hasard de source marocaine, la LF 2025 a institué une
contribution sociale de solidarité à la charge des établissements de jeux de hasard qui
versent ces gains. Cette contribution est calculée au taux de 2% sur la base du même
montant du bénéfice net fiscal servant pour le calcul de l’impôt sur les sociétés ou de
l’impôt sur le revenu déterminé d’après le régime du résultat net réel ou celui du résultat
net simplifié (Article 300.- Taux).

celui au cours duquel ladite retenue a été opérée.  
Le montant des retenues à la source effectuées au cours de l’année 2025 au titre des 
revenus fonciers est de : (3 000 x 20%) x 12 = 7 200 DH 
Dans ce cas, et conformément aux dispositions de l’article 86 (2° et 6°) du CGI, le 
contribuable susvisé est dispensé de l’obligation de souscrire la déclaration annuelle 
du revenu global, du fait qu’il dispose uniquement d’un revenu salarial payé par un 
seul employeur et des revenus fonciers soumis à la retenue à la source au taux 
libératoire de 20%. 
Cas 2 : Non option à l’imposition des revenus fonciers selon le taux 
libératoire de 20% 
Le contribuable en question n’a pas opté pour l’imposition des revenus fonciers 
selon le taux libératoire. Dans ce cas, la société « Y » est dispensée de l’obligation 
d’opérer la RAS au titre du revenu foncier versé au propriétaire, dès lors que le montant 
annuel des loyers ne dépasse pas le seuil exonéré de 40 000 DH et ce, conformément",Information non disponible dans le contexte fourni.
